,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,coordinates,bedrooms_bathrooms,sqft_lot_sqft_living,sqft_living_sqft_living15,sqft_living_bedrooms,grade_category
82,9418400240,355000.0,2,1.0,2020,6720,1.0,Average,7,1010,1010.0,1948,0.0,1720,6720,"[47.5474, -122.291]",2.0,3.3267326732673266,1.1744186046511629,1010.0,medium
83,1523059105,356000.0,3,1.5,1680,8712,1.0,Average,8,1680,0.0,1964,0.0,1850,8797,"[47.4811, -122.149]",2.0,5.185714285714286,0.9081081081081082,560.0,medium
84,1133000671,315000.0,3,1.0,960,6634,1.0,Average,6,960,0.0,1952,0.0,1570,7203,"[47.7264, -122.31]",3.0,6.910416666666666,0.6114649681528662,320.0,low
85,4232902595,940000.0,3,1.5,2140,3600,2.0,Average,9,1900,240.0,1925,0.0,2020,4800,"[47.6337, -122.365]",2.0,1.6822429906542056,1.0594059405940595,713.3333333333334,medium
86,2599001200,305000.0,5,2.25,2660,8400,1.5,Very Good,7,2660,0.0,1961,0.0,1590,8165,"[47.2909, -122.189]",2.2222222222222223,3.1578947368421053,1.6729559748427674,532.0,medium
87,3342103156,461000.0,3,3.25,2770,6278,2.0,Average,9,1980,790.0,2006,0.0,1900,7349,"[47.5228, -122.199]",0.9230769230769231,2.266425992779783,1.4578947368421054,923.3333333333334,medium
88,1332700270,215000.0,2,2.25,1610,2040,2.0,Good,7,1610,0.0,1979,0.0,1950,2025,"[47.518, -122.194]",0.8888888888888888,1.2670807453416149,0.8256410256410256,805.0,medium
89,3869900162,335000.0,2,1.75,1030,1066,2.0,Average,7,765,265.0,2006,0.0,1030,1106,"[47.5394, -122.387]",1.1428571428571428,1.0349514563106796,1.0,515.0,medium
90,2791500270,243500.0,4,2.5,1980,7403,2.0,Average,7,1980,0.0,1988,0.0,1980,7510,"[47.2897, -122.372]",1.6,3.738888888888889,1.0,495.0,medium
91,5036300431,1100000.0,5,2.75,3520,6353,2.0,Good,10,3520,0.0,2001,0.0,2520,6250,"[47.6506, -122.391]",1.8181818181818181,1.8048295454545455,1.3968253968253967,704.0,high
92,4168000060,153000.0,3,1.0,1200,10500,1.0,Average,7,1200,0.0,1962,0.0,1350,10500,"[47.322, -122.351]",3.0,8.75,0.8888888888888888,400.0,medium
93,6021501535,430000.0,3,1.5,1580,5000,1.0,Average,8,1290,290.0,1939,0.0,1570,4500,"[47.687, -122.386]",2.0,3.1645569620253164,1.0063694267515924,526.6666666666666,medium
94,6021501535,700000.0,3,1.5,1580,5000,1.0,Average,8,1290,290.0,1939,0.0,1570,4500,"[47.687, -122.386]",2.0,3.1645569620253164,1.0063694267515924,526.6666666666666,medium
95,1483300570,905000.0,4,2.5,3300,10250,1.0,Average,7,2390,910.0,1946,1991.0,1950,6045,"[47.5873, -122.249]",1.6,3.106060606060606,1.6923076923076923,825.0,medium
96,3422049190,247500.0,3,1.75,1960,15681,1.0,Average,7,1960,0.0,1967,0.0,1750,15616,"[47.3576, -122.277]",1.7142857142857142,8.000510204081632,1.12,653.3333333333334,medium
97,1099611230,199000.0,4,1.5,1160,6400,1.0,Good,7,1160,0.0,1975,0.0,1160,6400,"[47.3036, -122.378]",2.6666666666666665,5.517241379310345,1.0,290.0,medium
98,722079104,314000.0,3,1.75,1810,41800,1.0,Very Good,7,1210,600.0,1980,0.0,1650,135036,"[47.4109, -121.958]",1.7142857142857142,23.093922651933703,1.096969696969697,603.3333333333334,medium
99,7338200240,437500.0,3,2.5,2320,36847,2.0,Average,9,2320,0.0,1992,0.0,2550,35065,"[47.4838, -121.714]",1.2,15.882327586206896,0.9098039215686274,773.3333333333334,medium
100,1952200240,850830.0,3,2.5,2070,13241,1.5,Very Good,9,1270,800.0,1910,0.0,2200,4500,"[47.6415, -122.315]",1.2,6.396618357487923,0.9409090909090909,690.0,medium
101,5200100125,555000.0,3,2.0,1980,3478,1.5,Good,7,1440,540.0,1929,0.0,1610,3478,"[47.6775, -122.372]",1.5,1.7565656565656567,1.2298136645962734,660.0,medium
102,7214720075,699950.0,3,2.25,2190,107593,2.0,Good,8,2190,0.0,1983,0.0,2570,47777,"[47.7731, -122.08]",1.3333333333333333,49.12922374429224,0.8521400778210116,730.0,medium
103,2450000295,1090000.0,3,2.5,2920,8113,2.0,Average,8,2920,0.0,1950,2010.0,2370,8113,"[47.5814, -122.196]",1.2,2.7784246575342464,1.2320675105485233,973.3333333333334,medium
104,6197800045,290000.0,3,1.0,1210,33919,1.0,Average,7,1210,0.0,1954,0.0,1640,14910,"[47.4375, -122.184]",3.0,28.03223140495868,0.7378048780487805,403.3333333333333,medium
105,1328310370,375000.0,3,2.5,2340,10005,1.0,Good,8,1460,880.0,1978,0.0,2250,8162,"[47.4431, -122.133]",1.2,4.2756410256410255,1.04,780.0,medium
106,546000875,460000.0,3,1.0,1670,4005,1.5,Good,7,1170,500.0,1939,0.0,1240,4005,"[47.6878, -122.38]",3.0,2.3982035928143715,1.346774193548387,556.6666666666666,medium
107,3530510041,188500.0,2,1.75,1240,2493,1.0,Good,8,1240,0.0,1985,0.0,1270,4966,"[47.3813, -122.322]",1.1428571428571428,2.0104838709677417,0.9763779527559056,620.0,medium
108,1853000400,680000.0,4,2.5,3140,28037,2.0,Good,10,3140,0.0,1991,0.0,2990,35001,"[47.7304, -122.082]",1.6,8.928980891719744,1.0501672240802675,785.0,high
109,3134100116,470000.0,5,1.75,2030,12342,2.0,Good,7,2030,0.0,1942,0.0,2500,9433,"[47.6417, -122.109]",2.857142857142857,6.079802955665024,0.812,406.0,medium
110,9545230140,597750.0,4,2.5,2310,9624,2.0,Average,8,2310,0.0,1984,0.0,1940,9636,"[47.5386, -122.053]",1.6,4.166233766233766,1.190721649484536,577.5,medium
111,3362400511,570000.0,3,1.75,1260,3328,1.0,Very Good,6,700,560.0,1905,0.0,1380,3536,"[47.6823, -122.349]",1.7142857142857142,2.641269841269841,0.9130434782608695,420.0,low
112,2525310310,272500.0,3,1.75,1540,12600,1.0,Good,7,1160,0.0,1980,0.0,1540,11656,"[47.3624, -122.031]",1.7142857142857142,8.181818181818182,1.0,513.3333333333334,medium
113,6126500060,329950.0,3,1.75,2080,5969,1.0,Average,7,1080,1000.0,1971,0.0,2090,5500,"[47.5474, -122.295]",1.7142857142857142,2.8697115384615386,0.9952153110047847,693.3333333333334,medium
114,8961960160,480000.0,4,2.5,3230,16171,2.0,Average,9,2520,710.0,2001,0.0,2640,8517,"[47.3183, -122.253]",1.6,5.006501547987616,1.2234848484848484,807.5,medium
115,3626039325,740500.0,3,3.5,4380,6350,2.0,Average,8,2780,0.0,1900,0.0,1830,6350,"[47.6981, -122.368]",0.8571428571428571,1.4497716894977168,2.3934426229508197,1460.0,medium
116,3362400431,518500.0,3,3.5,1590,1102,3.0,Average,8,1590,0.0,2010,0.0,1620,3166,"[47.6824, -122.347]",0.8571428571428571,0.6930817610062893,0.9814814814814815,530.0,medium
117,4060000240,205425.0,2,1.0,880,6780,1.0,Good,6,880,0.0,1945,0.0,1190,6780,"[47.5009, -122.248]",2.0,7.704545454545454,0.7394957983193278,440.0,low
118,3454800060,171800.0,4,2.0,1570,9600,1.0,Average,6,1570,0.0,1950,0.0,1880,9000,"[47.4965, -122.303]",2.0,6.114649681528663,0.8351063829787234,392.5,low
119,1695900060,535000.0,4,1.0,1610,2982,1.5,Good,7,1610,0.0,1925,0.0,1610,4040,"[47.587, -122.294]",4.0,1.8521739130434782,1.0,402.5,medium
120,7278700070,660000.0,3,2.5,2400,6474,1.0,Average,8,1560,840.0,1964,0.0,2340,10856,"[47.7728, -122.386]",1.2,2.6975,1.0256410256410255,800.0,medium
121,6675500070,391500.0,3,2.0,1450,9132,1.0,Average,7,1450,0.0,1987,0.0,1580,9104,"[47.7288, -122.226]",1.5,6.297931034482759,0.9177215189873418,483.3333333333333,medium
122,3626039187,395000.0,2,1.0,770,6000,1.0,Average,6,770,0.0,1953,0.0,1710,6000,"[47.6999, -122.364]",2.0,7.792207792207792,0.4502923976608187,385.0,low
123,3524049083,445000.0,4,1.75,2100,4400,1.5,Very Good,7,1720,380.0,1924,0.0,1850,4400,"[47.5299, -122.266]",2.2857142857142856,2.0952380952380953,1.135135135135135,525.0,medium
124,3275860240,770000.0,3,2.25,2910,10204,2.0,Average,9,2910,0.0,1990,0.0,2700,13992,"[47.6897, -122.098]",1.3333333333333333,3.506529209621993,1.0777777777777777,970.0,medium
125,4389200955,1450000.0,4,2.75,2750,17789,1.5,Average,8,1980,770.0,1914,1992.0,3060,11275,"[47.6141, -122.212]",1.4545454545454546,6.468727272727273,0.8986928104575164,687.5,medium
126,4058801670,445000.0,3,2.25,2100,8201,1.0,Average,8,1620,480.0,1967,0.0,2660,8712,"[47.5091, -122.244]",1.3333333333333333,3.9052380952380954,0.7894736842105263,700.0,medium
127,8732020310,260000.0,4,2.25,2160,8811,1.0,Average,8,1360,800.0,1978,0.0,2090,8400,"[47.3129, -122.39]",1.7777777777777777,4.079166666666667,1.0334928229665072,540.0,medium
128,2331300505,822500.0,5,3.5,2320,4960,2.0,Very Good,7,1720,600.0,1926,0.0,1700,4960,"[47.6763, -122.352]",1.4285714285714286,2.1379310344827585,1.3647058823529412,464.0,medium
129,7853210060,430000.0,4,2.5,2070,4310,2.0,Average,7,2070,0.0,2004,0.0,1970,3748,"[47.5319, -121.85]",1.6,2.082125603864734,1.0507614213197969,517.5,medium
130,3668000070,212000.0,3,1.75,1060,7875,1.0,Good,7,1060,0.0,1986,0.0,1420,7680,"[47.2761, -122.152]",1.7142857142857142,7.429245283018868,0.7464788732394366,353.3333333333333,medium
131,9545240070,660500.0,4,2.25,2010,9603,1.0,Average,8,1440,570.0,1986,0.0,2060,9793,"[47.5343, -122.054]",1.7777777777777777,4.777611940298508,0.9757281553398058,502.5,medium
132,1243100136,784000.0,3,3.5,3950,111078,1.5,Average,9,2460,1490.0,1989,0.0,2480,88500,"[47.697, -122.072]",0.8571428571428571,28.121012658227848,1.592741935483871,1316.6666666666667,medium
133,8929000270,453246.0,3,2.5,2010,2287,2.0,Average,8,1390,620.0,2014,0.0,1690,1662,"[47.5517, -121.998]",1.2,1.1378109452736318,1.1893491124260356,670.0,medium
134,2767602356,675000.0,4,3.5,2140,2278,3.0,Average,9,2140,0.0,2005,0.0,1540,2285,"[47.6734, -122.38]",1.1428571428571428,1.0644859813084113,1.3896103896103895,535.0,medium
135,921049315,199000.0,3,1.75,1320,17390,1.0,Good,7,1320,0.0,1956,0.0,1550,19265,"[47.3257, -122.296]",1.7142857142857142,13.174242424242424,0.8516129032258064,440.0,medium
136,3655000070,220000.0,4,1.75,2020,7840,1.0,Average,7,1010,1010.0,1968,0.0,1750,8140,"[47.3309, -122.299]",2.2857142857142856,3.881188118811881,1.1542857142857144,505.0,medium
137,4027700812,452000.0,4,2.25,2590,10002,1.0,Good,8,1340,1250.0,1968,0.0,1550,10436,"[47.7689, -122.266]",1.7777777777777777,3.861776061776062,1.6709677419354838,647.5,medium
138,3992700335,382500.0,2,1.0,1190,4440,1.0,Average,6,1190,0.0,1981,0.0,1060,5715,"[47.7135, -122.287]",2.0,3.73109243697479,1.1226415094339623,595.0,low
139,2767603505,519950.0,3,2.25,1170,1249,3.0,Average,8,1170,0.0,2014,0.0,1350,1310,"[47.6722, -122.381]",1.3333333333333333,1.0675213675213675,0.8666666666666667,390.0,medium
140,4232901525,665000.0,2,1.0,1110,3200,1.0,Average,7,1110,0.0,1925,0.0,1170,3600,"[47.6338, -122.358]",2.0,2.8828828828828827,0.9487179487179487,555.0,medium
