,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,coordinates,bedrooms_bathrooms,sqft_lot_sqft_living,sqft_living_sqft_living15,sqft_living_bedrooms,grade_category
15929,8074200080,3,2.0,1430,12430,1.0,Good,7,1430,0.0,1957,0.0,1200,8250,"[47.4903, -122.178]",1.5,8.692307692307692,1.1916666666666667,476.6666666666667,medium
21154,6601200020,4,2.5,1954,5075,2.0,Average,8,1954,0.0,2007,0.0,1934,5000,"[47.2606, -122.253]",1.6,2.597236438075742,1.0103412616339194,488.5,medium
2774,2190601049,3,1.5,1010,10000,1.0,Good,7,1010,0.0,1973,0.0,2420,34637,"[47.2881, -122.294]",2.0,9.900990099009901,0.41735537190082644,336.6666666666667,medium
10448,5249802085,4,2.0,2380,10800,2.0,Average,8,2380,0.0,1925,0.0,2112,6600,"[47.5682, -122.275]",2.0,4.53781512605042,1.1268939393939394,595.0,medium
11257,6909700340,3,2.0,1990,3000,1.5,Very Good,8,1430,560.0,1927,0.0,1780,5000,"[47.5891, -122.293]",1.5,1.5075376884422111,1.1179775280898876,663.3333333333334,medium
3119,3271800850,3,1.75,2440,5800,1.0,Good,8,1320,1120.0,1945,0.0,2530,5800,"[47.6474, -122.412]",1.7142857142857142,2.377049180327869,0.9644268774703557,813.3333333333334,medium
19825,6181420200,4,2.5,2789,3960,2.0,Average,7,2789,0.0,2007,0.0,2547,3960,"[47.3059, -122.28]",1.6,1.4198637504481892,1.0950137416568513,697.25,medium
13139,226059161,4,2.5,2280,27441,2.0,Average,8,2280,0.0,1996,0.0,2350,35020,"[47.7628, -122.123]",1.6,12.035526315789474,0.9702127659574468,570.0,medium
1210,2770606685,3,1.0,1170,4400,1.0,Average,7,870,300.0,1951,0.0,1240,4400,"[47.6584, -122.391]",3.0,3.7606837606837606,0.9435483870967742,390.0,medium
13278,2768300736,3,3.0,1760,2114,2.0,Average,7,1400,0.0,2008,0.0,1300,1500,"[47.6666, -122.37]",1.0,1.2011363636363637,1.353846153846154,586.6666666666666,medium
6417,1826049426,4,2.75,2320,12368,1.0,Average,8,1670,650.0,1968,0.0,2070,9575,"[47.7373, -122.35]",1.4545454545454546,5.3310344827586205,1.1207729468599035,580.0,medium
1085,9834200885,4,2.5,2080,4080,1.0,Very Good,7,1040,1040.0,1962,0.0,1340,4080,"[47.572, -122.29]",1.6,1.9615384615384615,1.5522388059701493,520.0,medium
8573,1023059365,3,2.5,2460,54885,2.0,Good,8,2460,0.0,1980,0.0,2770,21407,"[47.4996, -122.146]",1.2,22.3109756097561,0.8880866425992779,820.0,medium
17561,2537500040,4,2.5,3220,7873,2.0,Average,10,3220,0.0,1994,0.0,2610,8023,"[47.5849, -122.03]",1.6,2.445031055900621,1.2337164750957854,805.0,high
7132,4232901990,2,1.0,910,3600,1.0,Good,7,910,0.0,1909,0.0,1720,3600,"[47.6341, -122.361]",2.0,3.956043956043956,0.5290697674418605,455.0,medium
10734,7972602435,2,1.0,950,6350,1.0,Average,7,950,0.0,1951,0.0,1080,7620,"[47.528, -122.352]",2.0,6.684210526315789,0.8796296296296297,475.0,medium
11983,2724049185,3,1.75,1430,4920,1.0,Fair,6,1430,0.0,1957,0.0,1550,5646,"[47.5388, -122.275]",1.7142857142857142,3.4405594405594404,0.9225806451612903,476.6666666666667,low
17876,9289900065,3,1.75,2100,29735,1.0,Good,7,1080,1020.0,1957,0.0,2100,11250,"[47.7622, -122.302]",1.7142857142857142,14.15952380952381,1.0,700.0,medium
5811,7568700480,2,1.0,1140,10152,1.0,Average,6,760,380.0,1942,0.0,1340,10141,"[47.7369, -122.321]",2.0,8.905263157894737,0.8507462686567164,570.0,low
12030,6641020160,4,2.5,2000,5684,2.0,Average,8,2000,0.0,1996,0.0,2210,7066,"[47.7443, -122.22]",1.6,2.842,0.9049773755656109,500.0,medium
21554,3438501862,3,2.5,1450,5008,1.0,Average,7,840,610.0,2007,0.0,2120,5019,"[47.5435, -122.357]",1.2,3.453793103448276,0.6839622641509434,483.3333333333333,medium
3379,4054530090,4,2.5,3290,35001,2.0,Average,10,3290,0.0,1991,0.0,4090,40371,"[47.7231, -122.038]",1.6,10.638601823708207,0.80440097799511,822.5,high
1318,1775800510,4,1.0,1750,12528,1.0,Good,7,1750,0.0,1967,0.0,1550,14120,"[47.743, -122.097]",4.0,7.158857142857143,1.1290322580645162,437.5,medium
1769,2113700060,4,2.5,2350,3904,2.5,Average,7,2350,0.0,1999,0.0,1120,4000,"[47.5305, -122.351]",1.6,1.661276595744681,2.0982142857142856,587.5,medium
5459,9493200010,3,1.0,1270,8400,1.0,Average,7,1270,0.0,1955,0.0,1390,8400,"[47.7604, -122.198]",3.0,6.6141732283464565,0.9136690647482014,423.3333333333333,medium
10363,7128300060,5,1.75,1650,3000,1.5,Average,8,1650,0.0,1902,0.0,1740,4000,"[47.5955, -122.306]",2.857142857142857,1.8181818181818181,0.9482758620689655,330.0,medium
21225,6909200007,3,1.75,1458,858,2.0,Average,8,950,508.0,2014,0.0,1458,3000,"[47.592, -122.293]",1.7142857142857142,0.588477366255144,1.0,486.0,medium
20783,7772850060,3,2.5,1420,3542,2.0,Average,8,1310,110.0,2007,0.0,1180,1622,"[47.7731, -122.343]",1.2,2.4943661971830986,1.2033898305084745,473.3333333333333,medium
9514,2587910180,3,1.0,1380,30940,2.0,Average,8,1380,0.0,1976,0.0,2350,32500,"[47.334, -122.106]",3.0,22.420289855072465,0.5872340425531914,460.0,medium
3562,8731800300,3,2.25,1940,9100,1.0,Good,8,1630,310.0,1966,0.0,2080,9100,"[47.3133, -122.364]",1.3333333333333333,4.690721649484536,0.9326923076923077,646.6666666666666,medium
130,3668000070,3,1.75,1060,7875,1.0,Good,7,1060,0.0,1986,0.0,1420,7680,"[47.2761, -122.152]",1.7142857142857142,7.429245283018868,0.7464788732394366,353.3333333333333,medium
20474,1453601038,3,2.5,1270,1283,3.0,Average,7,1270,0.0,2007,0.0,1270,1512,"[47.7209, -122.291]",1.2,1.0102362204724409,1.0,423.3333333333333,medium
18815,2806800120,4,2.5,2530,7563,1.0,Average,7,1440,1090.0,1978,0.0,1960,7811,"[47.7762, -122.21]",1.6,2.9893280632411066,1.2908163265306123,632.5,medium
4880,3832710840,4,2.0,1850,7560,1.0,Good,7,1540,310.0,1978,0.0,1620,7658,"[47.3666, -122.277]",2.0,4.0864864864864865,1.1419753086419753,462.5,medium
14129,9407100720,3,1.75,1390,13200,2.0,Average,7,1390,0.0,1979,0.0,1430,10725,"[47.4429, -121.771]",1.7142857142857142,9.496402877697841,0.972027972027972,463.3333333333333,medium
4918,9809000020,5,2.25,3120,16672,2.0,Good,9,3120,0.0,1969,0.0,3740,17853,"[47.6458, -122.219]",2.2222222222222223,5.343589743589743,0.8342245989304813,624.0,medium
18538,2622059138,3,1.5,1740,21980,1.0,Good,7,1740,0.0,1973,0.0,1400,16100,"[47.3644, -122.132]",2.0,12.632183908045977,1.2428571428571429,580.0,medium
1623,2143700861,2,1.75,1340,7380,1.0,Average,6,1340,0.0,1940,0.0,1980,9600,"[47.4785, -122.229]",1.1428571428571428,5.507462686567164,0.6767676767676768,670.0,low
15376,3629970680,2,2.5,1830,2856,2.0,Average,7,1830,0.0,2005,0.0,1850,2667,"[47.5524, -121.996]",0.8,1.560655737704918,0.9891891891891892,915.0,medium
1825,8899210320,3,2.25,2200,8000,2.0,Average,8,2200,0.0,1981,0.0,2170,8000,"[47.4522, -122.208]",1.3333333333333333,3.6363636363636362,1.0138248847926268,733.3333333333334,medium
17541,1196002395,3,2.0,2850,19200,1.0,Average,8,2340,510.0,2004,0.0,2860,18240,"[47.3378, -122.348]",1.5,6.7368421052631575,0.9965034965034965,950.0,medium
10881,9407100310,3,2.5,1260,11877,1.0,Average,7,1260,0.0,1975,0.0,1430,9790,"[47.4442, -121.762]",1.2,9.426190476190476,0.8811188811188811,420.0,medium
8109,1623800300,2,1.0,1220,3000,1.0,Average,7,920,300.0,1926,0.0,1270,3000,"[47.6823, -122.365]",2.0,2.459016393442623,0.9606299212598425,610.0,medium
13205,4137020360,3,2.5,1780,6527,2.0,Average,8,1780,0.0,1989,0.0,2040,8840,"[47.2578, -122.217]",1.2,3.6668539325842695,0.8725490196078431,593.3333333333334,medium
7431,1223089016,3,2.25,2450,49658,1.0,Average,7,1770,680.0,1978,0.0,1340,121097,"[47.486, -121.726]",1.3333333333333333,20.268571428571427,1.828358208955224,816.6666666666666,medium
12667,925069123,3,1.0,1610,58370,1.0,Average,7,1610,0.0,1978,0.0,2510,58127,"[47.6718, -122.044]",3.0,36.254658385093165,0.6414342629482072,536.6666666666666,medium
4602,2767704345,3,2.25,1270,1213,2.0,Average,8,1040,230.0,2005,0.0,1410,1265,"[47.6736, -122.375]",1.3333333333333333,0.9551181102362205,0.900709219858156,423.3333333333333,medium
14092,3211600650,3,1.0,1000,8018,1.0,Average,7,1000,0.0,1969,0.0,1270,8000,"[47.7285, -122.198]",3.0,8.018,0.7874015748031497,333.3333333333333,medium
9997,4040800260,4,1.5,1220,10580,1.0,Average,7,1220,0.0,1965,0.0,1350,7800,"[47.6205, -122.116]",2.6666666666666665,8.672131147540984,0.9037037037037037,305.0,medium
19429,582000644,4,2.0,1990,6000,1.0,Average,9,1260,730.0,1956,2015.0,1770,6000,"[47.6515, -122.397]",2.0,3.0150753768844223,1.1242937853107344,497.5,medium
2216,5309100295,4,1.75,1500,6820,1.5,Very Good,7,1500,0.0,1905,0.0,1360,4125,"[47.6794, -122.37]",2.2857142857142856,4.546666666666667,1.1029411764705883,375.0,medium
2995,8825900855,4,1.75,2660,3520,2.0,Good,8,2080,580.0,1917,0.0,2100,4080,"[47.6743, -122.308]",2.2857142857142856,1.3233082706766917,1.2666666666666666,665.0,medium
3792,5126900405,2,1.0,790,7450,1.0,Good,6,790,0.0,1944,0.0,800,7450,"[47.4743, -122.17]",2.0,9.430379746835444,0.9875,395.0,low
6847,7677300010,4,1.0,1720,4410,1.5,Average,7,1720,0.0,1928,0.0,2140,4500,"[47.6791, -122.402]",4.0,2.563953488372093,0.8037383177570093,430.0,medium
20355,8029770190,4,2.5,3400,4840,2.0,Average,10,3190,210.0,2006,0.0,3400,5710,"[47.5066, -122.146]",1.6,1.423529411764706,1.0,850.0,high
13899,9527310180,3,2.5,2200,4692,2.0,Average,8,2200,0.0,2005,0.0,2440,3833,"[47.7761, -122.169]",1.2,2.132727272727273,0.9016393442622951,733.3333333333334,medium
8570,6072760210,4,2.25,2670,14255,1.0,Good,8,1610,1060.0,1975,0.0,2470,10290,"[47.5623, -122.175]",1.7777777777777777,5.3389513108614235,1.0809716599190284,667.5,medium
14660,1774230180,5,2.25,3210,61419,1.5,Average,8,3210,0.0,1979,0.0,2820,48351,"[47.7632, -122.09]",2.2222222222222223,19.133644859813085,1.1382978723404256,642.0,medium
6916,7227502155,2,1.0,820,5700,1.0,Very Good,5,820,0.0,1942,0.0,1000,5700,"[47.4915, -122.184]",2.0,6.951219512195122,0.82,410.0,low
14835,6873000120,2,2.5,1480,1369,3.0,Average,7,1480,0.0,2009,0.0,1390,1337,"[47.676, -122.121]",0.8,0.925,1.064748201438849,740.0,medium
9360,809001400,3,1.0,1630,3200,1.5,Good,8,1630,0.0,1912,0.0,1710,3600,"[47.6351, -122.352]",3.0,1.9631901840490797,0.9532163742690059,543.3333333333334,medium
3940,3584900090,3,1.75,1760,12874,1.0,Good,7,1230,530.0,1967,0.0,1950,10240,"[47.5906, -122.167]",1.7142857142857142,7.314772727272727,0.9025641025641026,586.6666666666666,medium
11481,2821049082,2,1.0,1040,11500,1.0,Very Good,7,1040,0.0,1947,0.0,1300,11954,"[47.2791, -122.3]",2.0,11.057692307692308,0.8,520.0,medium
11225,808300200,4,2.5,3040,20682,2.0,Average,7,3040,0.0,2000,0.0,2670,9742,"[47.7245, -121.959]",1.6,6.80328947368421,1.1385767790262171,760.0,medium
4751,8929000290,3,2.5,1690,1618,2.0,Average,8,1150,540.0,2014,0.0,1690,1618,"[47.5518, -121.998]",1.2,0.9573964497041421,1.0,563.3333333333334,medium
6518,2329800430,3,2.25,1660,8188,2.0,Good,7,1660,0.0,1988,0.0,1660,7000,"[47.3766, -122.115]",1.3333333333333333,4.932530120481927,1.0,553.3333333333334,medium
7530,1250201130,4,2.0,1510,3240,1.0,Very Good,7,870,640.0,1901,0.0,1420,5160,"[47.5972, -122.296]",2.0,2.1456953642384105,1.0633802816901408,377.5,medium
13104,5072420040,3,2.5,2080,8690,1.0,Average,8,1430,650.0,1974,0.0,2400,9625,"[47.4424, -122.344]",1.2,4.177884615384615,0.8666666666666667,693.3333333333334,medium
13410,622100074,3,2.75,2440,76531,1.0,Average,10,1640,800.0,1980,0.0,1890,10042,"[47.7672, -122.161]",1.0909090909090908,31.365163934426228,1.291005291005291,813.3333333333334,high
5379,3629920630,3,2.5,2170,5000,2.0,Average,9,2170,0.0,2003,0.0,2170,5000,"[47.5453, -121.996]",1.2,2.304147465437788,1.0,723.3333333333334,medium
3223,1310980110,3,2.25,1920,7840,2.0,Good,8,1920,0.0,1982,0.0,2170,7210,"[47.3631, -122.276]",1.3333333333333333,4.083333333333333,0.8847926267281107,640.0,medium
5800,7202260780,3,2.5,2510,5544,2.0,Average,7,2510,0.0,2001,0.0,2660,5614,"[47.6903, -122.042]",1.2,2.208764940239044,0.943609022556391,836.6666666666666,medium
19015,2767704682,2,1.5,1300,1229,2.0,Average,8,1160,140.0,2000,0.0,1430,1255,"[47.6727, -122.375]",1.3333333333333333,0.9453846153846154,0.9090909090909091,650.0,medium
16298,1788700185,2,1.0,1050,9600,1.0,Good,6,1050,0.0,1959,0.0,990,8880,"[47.3274, -122.346]",2.0,9.142857142857142,1.0606060606060606,525.0,low
449,4140090240,3,2.25,2590,9263,1.0,Very Good,8,1440,1150.0,1977,0.0,2580,9450,"[47.7691, -122.262]",1.3333333333333333,3.5764478764478764,1.003875968992248,863.3333333333334,medium
2264,522049104,5,1.75,2340,9148,2.0,Average,7,2340,0.0,1957,0.0,1390,10019,"[47.4232, -122.324]",2.857142857142857,3.9094017094017093,1.683453237410072,468.0,medium
11717,2303900045,4,2.5,4570,74487,2.0,Very Good,12,4570,0.0,1948,1985.0,3810,74487,"[47.7282, -122.372]",1.6,16.299124726477025,1.1994750656167978,1142.5,high
13314,7852130720,3,2.5,2240,7791,2.0,Average,7,2240,0.0,2002,0.0,2480,5018,"[47.5361, -121.88]",1.2,3.478125,0.9032258064516129,746.6666666666666,medium
9559,3298500690,3,1.0,1150,7314,1.0,Average,7,1150,0.0,1960,0.0,1350,7350,"[47.6246, -122.113]",3.0,6.36,0.8518518518518519,383.3333333333333,medium
14469,2725069164,4,2.5,2990,9374,2.0,Average,9,2990,0.0,2003,0.0,2440,8711,"[47.6287, -122.024]",1.6,3.1351170568561875,1.2254098360655739,747.5,medium
12296,7550801170,4,1.0,1350,3333,1.5,Average,7,1350,0.0,1912,0.0,1530,5000,"[47.6727, -122.397]",4.0,2.468888888888889,0.8823529411764706,337.5,medium
9558,1310700210,3,1.75,1970,10270,1.0,Good,8,1970,0.0,1966,0.0,1970,8400,"[47.3619, -122.285]",1.7142857142857142,5.213197969543147,1.0,656.6666666666666,medium
535,2459500310,3,2.25,1610,6655,2.0,Good,7,1610,0.0,1985,0.0,1780,7529,"[47.4296, -122.161]",1.3333333333333333,4.133540372670807,0.9044943820224719,536.6666666666666,medium
18338,1545801500,3,2.5,1620,7686,2.0,Average,7,1620,0.0,1989,0.0,1370,7686,"[47.3613, -122.053]",1.2,4.7444444444444445,1.1824817518248176,540.0,medium
10406,4307300520,4,2.5,2160,4500,2.0,Average,7,2160,0.0,2002,0.0,2160,4496,"[47.4819, -122.182]",1.6,2.0833333333333335,1.0,540.0,medium
1836,7855000550,4,2.5,3830,13800,1.0,Good,9,2030,1800.0,1969,0.0,3460,9875,"[47.5671, -122.157]",1.6,3.6031331592689293,1.106936416184971,957.5,medium
6440,3298300130,4,1.5,1340,6200,1.0,Very Good,6,1340,0.0,1959,0.0,1210,7178,"[47.6214, -122.119]",2.6666666666666665,4.626865671641791,1.1074380165289257,335.0,low
9234,8682262240,2,2.5,1900,5065,2.0,Average,8,1900,0.0,2005,0.0,1350,4664,"[47.7175, -122.034]",0.8,2.6657894736842107,1.4074074074074074,950.0,medium
9542,2832100910,4,2.75,2230,9640,1.0,Average,8,1320,910.0,1998,0.0,2100,9600,"[47.7269, -122.325]",1.4545454545454546,4.322869955156951,1.061904761904762,557.5,medium
10781,1972200696,3,3.25,1460,1254,3.0,Average,8,1460,0.0,2000,0.0,1400,1255,"[47.6535, -122.353]",0.9230769230769231,0.8589041095890411,1.042857142857143,486.6666666666667,medium
12434,6705850140,4,2.75,3170,7634,2.0,Average,10,3170,0.0,1992,0.0,2940,7846,"[47.5774, -122.054]",1.4545454545454546,2.4082018927444797,1.0782312925170068,792.5,high
1890,9265700045,3,1.0,2150,7007,1.0,Average,6,2150,0.0,1954,0.0,1720,9000,"[47.7615, -122.362]",3.0,3.2590697674418605,1.25,716.6666666666666,low
10127,3066410810,3,2.25,2730,10675,2.0,Average,9,2730,0.0,1990,0.0,2770,10570,"[47.6289, -122.042]",1.3333333333333333,3.91025641025641,0.9855595667870036,910.0,medium
5203,5452302195,3,2.5,1460,8800,1.0,Good,7,1460,0.0,1956,0.0,2200,8800,"[47.5895, -122.232]",1.2,6.027397260273973,0.6636363636363637,486.6666666666667,medium
7796,7454000315,2,1.0,740,6300,1.0,Average,6,740,0.0,1942,0.0,740,6300,"[47.5158, -122.376]",2.0,8.513513513513514,1.0,370.0,low
18821,2485000100,3,1.75,1940,7313,1.0,Good,8,1440,500.0,1960,0.0,2160,7200,"[47.5239, -122.387]",1.7142857142857142,3.7695876288659793,0.8981481481481481,646.6666666666666,medium
18420,4217400590,3,1.5,1390,5040,1.0,Average,7,1090,300.0,1947,0.0,1910,4800,"[47.6611, -122.282]",2.0,3.6258992805755397,0.7277486910994765,463.3333333333333,medium
20387,6056100150,3,1.5,1270,2356,2.0,Average,7,1270,0.0,2012,0.0,1490,2175,"[47.5671, -122.298]",2.0,1.8551181102362204,0.8523489932885906,423.3333333333333,medium
8813,1782500035,2,1.0,870,4600,1.0,Good,7,870,0.0,1942,0.0,930,4600,"[47.5274, -122.379]",2.0,5.287356321839081,0.9354838709677419,435.0,medium
1688,5631500505,4,2.5,2440,28405,2.0,Average,8,2440,0.0,2002,0.0,2480,11429,"[47.7386, -122.238]",1.6,11.64139344262295,0.9838709677419355,610.0,medium
18248,2891000610,4,1.75,1700,6000,1.0,Average,7,1700,0.0,1967,0.0,1280,6000,"[47.3252, -122.208]",2.2857142857142856,3.5294117647058822,1.328125,425.0,medium
19416,4022900652,5,3.25,2860,20790,1.0,Good,7,1800,1060.0,1965,0.0,1920,9612,"[47.7757, -122.295]",1.5384615384615385,7.269230769230769,1.4895833333333333,572.0,medium
4614,2114700115,3,2.5,1970,4120,1.5,Average,6,1230,740.0,1927,0.0,1470,4080,"[47.5328, -122.346]",1.2,2.0913705583756346,1.3401360544217686,656.6666666666666,low
11993,1959700445,4,1.75,4060,5500,2.0,Very Good,9,2660,1400.0,1924,0.0,3320,5500,"[47.6437, -122.321]",2.2857142857142856,1.354679802955665,1.2228915662650603,1015.0,medium
12586,6648500580,3,2.25,2070,7225,1.0,Average,8,1690,380.0,1979,0.0,2070,7400,"[47.3551, -122.148]",1.3333333333333333,3.4903381642512077,1.0,690.0,medium
7912,9522100485,5,1.75,2000,3750,2.0,Good,7,2000,0.0,1921,0.0,1520,3750,"[47.6618, -122.355]",2.857142857142857,1.875,1.3157894736842106,400.0,medium
2449,7896300070,4,1.0,1290,6034,1.0,Average,6,1050,240.0,1950,0.0,1060,6034,"[47.5223, -122.286]",4.0,4.677519379844961,1.2169811320754718,322.5,low
7850,6021502310,2,1.75,1210,4141,1.0,Good,7,910,300.0,1942,0.0,1310,4141,"[47.68600000000001, -122.382]",1.1428571428571428,3.422314049586777,0.9236641221374046,605.0,medium
5117,3306200010,4,1.5,1920,10403,1.0,Average,7,1370,550.0,1959,0.0,1550,9619,"[47.2987, -122.366]",2.6666666666666665,5.418229166666666,1.238709677419355,480.0,medium
14073,8146200150,4,2.25,2180,11056,1.0,Average,8,1370,810.0,1963,0.0,2090,8747,"[47.6042, -122.193]",1.7777777777777777,5.0715596330275226,1.0430622009569377,545.0,medium
4822,2891000680,3,1.75,1070,6110,1.0,Good,7,1070,0.0,1968,0.0,1350,6148,"[47.3249, -122.207]",1.7142857142857142,5.710280373831775,0.7925925925925926,356.6666666666667,medium
6434,2460900020,3,1.0,1560,3960,1.5,Good,7,1560,0.0,1907,0.0,1280,3960,"[47.5936, -122.301]",3.0,2.5384615384615383,1.21875,520.0,medium
454,2287000030,3,1.75,1870,9897,1.0,Good,8,1870,0.0,1960,0.0,1900,10005,"[47.5505, -122.221]",1.7142857142857142,5.292513368983958,0.9842105263157894,623.3333333333334,medium
19248,7899800586,4,1.0,2300,7680,1.0,Average,7,1270,1030.0,1959,0.0,1840,5120,"[47.524, -122.359]",4.0,3.3391304347826085,1.25,575.0,medium
19675,2909310060,4,2.5,2020,5100,2.0,Average,7,2020,0.0,2010,0.0,2300,5685,"[47.2822, -122.357]",1.6,2.5247524752475248,0.8782608695652174,505.0,medium
15026,3623059027,2,0.75,780,55764,1.0,Good,4,780,0.0,1945,0.0,1620,30847,"[47.442, -122.105]",2.6666666666666665,71.49230769230769,0.48148148148148145,390.0,low
3852,8556800100,4,2.5,2880,23994,2.0,Average,9,2880,0.0,2002,0.0,2470,17009,"[47.2124, -122.005]",1.6,8.33125,1.165991902834008,720.0,medium
182,3127200041,4,3.0,2440,9600,2.0,Very Good,7,2440,0.0,1961,0.0,2290,9600,"[47.7044, -122.2]",1.3333333333333333,3.9344262295081966,1.0655021834061136,610.0,medium
6051,7691800130,3,2.5,2790,6720,2.0,Average,8,2790,0.0,2002,0.0,2620,6720,"[47.5958, -122.038]",1.2,2.4086021505376345,1.0648854961832062,930.0,medium
15634,3755000020,3,1.0,940,10500,1.0,Good,7,940,0.0,1966,0.0,1660,10500,"[47.7268, -122.229]",3.0,11.170212765957446,0.5662650602409639,313.3333333333333,medium
19616,1972200554,3,2.25,1480,1026,3.0,Average,8,1480,0.0,2014,0.0,1570,1283,"[47.6536, -122.354]",1.3333333333333333,0.6932432432432433,0.9426751592356688,493.3333333333333,medium
15218,1926049398,3,2.25,1650,7218,1.0,Average,7,1230,420.0,1985,0.0,1690,7459,"[47.7237, -122.335]",1.3333333333333333,4.374545454545455,0.9763313609467456,550.0,medium
20998,7697000150,3,2.5,1660,4083,2.0,Average,7,1660,0.0,2013,0.0,1800,4087,"[47.3595, -122.045]",1.2,2.4596385542168675,0.9222222222222223,553.3333333333334,medium
99,7338200240,3,2.5,2320,36847,2.0,Average,9,2320,0.0,1992,0.0,2550,35065,"[47.4838, -121.714]",1.2,15.882327586206896,0.9098039215686274,773.3333333333334,medium
5937,1483300430,2,1.0,820,3700,1.0,Very Good,7,820,0.0,1968,0.0,1750,9000,"[47.588, -122.251]",2.0,4.512195121951219,0.4685714285714286,410.0,medium
8196,4197400043,3,1.5,1690,10250,1.0,Good,7,1690,0.0,1955,0.0,1990,11084,"[47.4531, -122.344]",2.0,6.06508875739645,0.8492462311557789,563.3333333333334,medium
3742,7230300100,3,2.0,1820,17600,1.0,Very Good,7,1820,0.0,1972,0.0,2190,17440,"[47.4703, -122.112]",1.5,9.67032967032967,0.8310502283105022,606.6666666666666,medium
9924,2818100060,4,2.0,2850,7861,1.0,Good,10,1450,1400.0,1970,0.0,2810,8087,"[47.6995, -122.397]",2.0,2.7582456140350877,1.0142348754448398,712.5,high
2764,1919800260,3,1.75,2340,6750,1.5,Very Good,7,1620,720.0,1914,0.0,1410,3388,"[47.6956, -122.335]",1.7142857142857142,2.8846153846153846,1.6595744680851063,780.0,medium
833,4037200075,6,2.25,2450,25600,1.0,Average,7,1340,1110.0,1957,0.0,1850,10230,"[47.6061, -122.117]",2.6666666666666665,10.448979591836734,1.3243243243243243,408.3333333333333,medium
10902,9209900335,2,1.0,1150,4400,1.0,Good,7,1150,0.0,1905,0.0,1240,4400,"[47.6226, -122.292]",2.0,3.8260869565217392,0.9274193548387096,575.0,medium
7327,7905200381,2,1.75,1400,4720,1.0,Good,7,820,580.0,1927,0.0,1330,6786,"[47.5705, -122.392]",1.1428571428571428,3.3714285714285714,1.0526315789473684,700.0,medium
1707,5535600520,4,2.5,2850,6809,2.0,Average,9,2850,0.0,2003,0.0,2820,7500,"[47.7353, -121.973]",1.6,2.389122807017544,1.0106382978723405,712.5,medium
254,3830630060,3,2.5,1730,7442,2.0,Average,7,1730,0.0,1987,0.0,1630,6458,"[47.3507, -122.178]",1.2,4.3017341040462425,1.0613496932515338,576.6666666666666,medium
13771,3205400150,3,1.5,1450,7375,1.0,Average,7,1010,440.0,1968,0.0,1350,7440,"[47.7212, -122.179]",2.0,5.086206896551724,1.0740740740740742,483.3333333333333,medium
7870,2114700530,4,1.0,1460,3840,1.5,Average,8,1340,120.0,1928,0.0,990,4200,"[47.533, -122.347]",4.0,2.6301369863013697,1.4747474747474747,365.0,medium
1302,1324079041,3,1.0,1370,17859,1.0,Good,7,1150,220.0,1930,0.0,1460,47044,"[47.5617, -121.859]",3.0,13.035766423357664,0.9383561643835616,456.6666666666667,medium
13791,421000455,3,1.0,1360,5840,1.0,Good,5,1360,0.0,1953,0.0,1250,6708,"[47.4945, -122.166]",3.0,4.294117647058823,1.088,453.3333333333333,low
