,price
982,379000.0
7780,365000.0
12642,800000.0
12548,445000.0
2596,259000.0
16671,255000.0
6879,400000.0
16137,239950.0
5762,640000.0
4488,564500.0
5144,489000.0
20691,380000.0
377,275000.0
357,420000.0
14725,270000.0
13402,249000.0
9364,259000.0
15516,575000.0
7585,449000.0
10227,730000.0
5537,428400.0
13759,289000.0
6258,560000.0
9892,665000.0
11888,435000.0
2234,1760000.0
12777,229950.0
6918,417500.0
16849,364000.0
20639,859950.0
9767,289275.0
4352,926300.0
14657,860000.0
10092,485000.0
8383,565000.0
9081,499950.0
19934,743000.0
6253,750000.0
6846,195000.0
21519,332000.0
18699,534000.0
2718,320000.0
7930,369950.0
1256,682000.0
5385,575000.0
2640,190000.0
4318,410000.0
20513,565000.0
14726,712000.0
2652,900000.0
19472,234000.0
12887,302200.0
6003,1330000.0
11813,335000.0
13672,555000.0
1336,825000.0
7889,200000.0
113,329950.0
8525,898000.0
472,1200000.0
16886,355000.0
7278,474950.0
5222,383000.0
8470,1200000.0
15730,560000.0
4286,192950.0
13365,810000.0
15287,314000.0
8122,287000.0
12547,545000.0
14891,625000.0
6769,535000.0
6143,226000.0
14280,685000.0
8393,210000.0
13786,592000.0
380,270000.0
12608,669888.0
9936,480000.0
16522,369000.0
17688,616750.0
14987,525000.0
21478,915000.0
15274,250000.0
15741,315000.0
135,199000.0
11055,500000.0
10580,373000.0
10557,248000.0
12781,726000.0
14798,925000.0
6285,390000.0
21099,425000.0
16800,150000.0
4745,319000.0
17225,680000.0
13542,334500.0
6550,234000.0
8623,601150.0
13664,349950.0
12968,280000.0
2087,750000.0
11448,475000.0
14999,265000.0
11773,232000.0
3997,645000.0
18506,680000.0
16918,605125.0
5923,762500.0
13517,229999.0
3288,363000.0
10645,288000.0
425,245000.0
17437,465000.0
18425,357500.0
12425,550000.0
12552,417000.0
7117,378500.0
4693,558000.0
8574,509000.0
13191,500000.0
12235,225000.0
7721,402000.0
9731,259500.0
6245,408000.0
17920,215000.0
8103,625000.0
14442,1120000.0
18618,600000.0
9477,287000.0
9961,495000.0
3214,269000.0
29,719000.0
14649,630000.0
1833,1530000.0
3658,350000.0
16396,570000.0
14625,1440000.0
20424,335000.0
6409,455000.0
6271,435000.0
12783,317000.0
19960,459000.0
2197,347000.0
15269,607500.0
9213,289000.0
9250,485000.0
14848,235000.0
3162,452250.0
2339,545000.0
20924,609000.0
16529,293000.0
653,597500.0
7459,599000.0
13586,654500.0
3234,739000.0
20819,533500.0
2726,570000.0
1113,525000.0
5990,255000.0
14159,460000.0
17623,440000.0
5026,266000.0
373,380000.0
2099,643000.0
8936,230950.0
2993,639000.0
7409,175409.0
19410,794500.0
1275,750000.0
6306,580000.0
14804,219900.0
7306,3100000.0
4304,386000.0
13054,252000.0
9839,269000.0
11013,760000.0
2132,239900.0
12325,749950.0
20449,650000.0
16246,1250000.0
21490,2240000.0
18291,276500.0
18996,550000.0
16089,305000.0
12555,759950.0
15777,400000.0
7660,220000.0
862,539900.0
13609,339950.0
18742,740000.0
11712,306000.0
16894,457000.0
1720,345000.0
12291,575000.0
8121,447000.0
21547,337000.0
20009,1040000.0
15535,565000.0
638,314500.0
20490,305000.0
4132,700000.0
4622,1160000.0
566,260000.0
14358,280000.0
8622,314950.0
8247,910000.0
13355,520000.0
16039,247500.0
1305,316000.0
5381,214000.0
18085,150000.0
5458,352500.0
14883,300000.0
4303,316000.0
11699,750000.0
9811,224000.0
13315,280000.0
17318,376000.0
10798,175000.0
10943,571000.0
8191,610000.0
14583,242050.0
9733,999950.0
10128,800000.0
8198,107000.0
8628,530000.0
1795,212000.0
9498,490000.0
20411,262000.0
1057,528000.0
1964,725000.0
2629,169575.0
14054,374950.0
10393,965000.0
4816,349000.0
15427,760000.0
6164,626700.0
20121,629000.0
19040,1230000.0
9022,435000.0
11152,620000.0
7676,600000.0
11719,215000.0
18340,545000.0
8291,602000.0
14004,580000.0
10113,580000.0
8416,245000.0
8829,1410000.0
2543,465000.0
7014,466750.0
3884,680000.0
8156,1450000.0
2275,500000.0
13725,252000.0
10466,292000.0
420,482000.0
284,330000.0
998,289000.0
8862,279000.0
3181,249000.0
5020,1170000.0
14813,465000.0
9375,403000.0
15733,447000.0
7729,535500.0
3834,348000.0
19742,2250000.0
10936,170000.0
4768,205500.0
5685,1000000.0
3245,308000.0
4281,215000.0
13770,185000.0
4533,650000.0
19775,655000.0
12274,815000.0
6586,814000.0
14677,438000.0
19571,739000.0
15691,276900.0
17731,272450.0
15401,1650000.0
11607,324000.0
13343,766500.0
12521,575000.0
160,255000.0
5426,605500.0
15559,525000.0
18914,592500.0
17108,960000.0
17578,350000.0
682,609900.0
10277,583000.0
7828,725000.0
17365,563000.0
14748,530000.0
150,532170.0
7755,658000.0
10596,367000.0
7553,679000.0
3411,280000.0
18321,475000.0
9814,372000.0
3977,310597.0
7625,540000.0
17742,1320000.0
12408,580000.0
18475,544000.0
17599,320000.0
13532,896000.0
8970,540000.0
4315,432500.0
12553,213800.0
9572,165000.0
19462,351000.0
2661,356500.0
18948,420000.0
5702,380000.0
16927,160000.0
19808,730000.0
3788,702000.0
7591,539950.0
16112,550000.0
1276,831000.0
7101,555000.0
6653,659000.0
11020,560000.0
6959,408506.0
14812,365000.0
5942,199000.0
19859,430000.0
116,518500.0
16981,667000.0
16037,315450.0
9887,472500.0
13674,597000.0
1112,660000.0
19574,275500.0
11068,368888.0
9298,335000.0
9584,700000.0
17385,199000.0
19826,418395.0
11309,687500.0
3651,308550.0
11617,472000.0
1255,321000.0
3684,830000.0
17697,990000.0
16190,234000.0
20494,560000.0
17926,610000.0
15968,652600.0
2481,543000.0
16110,1930000.0
12758,363500.0
9300,452000.0
14881,251000.0
18786,230005.0
829,659000.0
15414,319000.0
1602,249950.0
20257,378000.0
7708,250000.0
3058,387000.0
2778,665000.0
11566,412250.0
17898,401000.0
15593,190000.0
9842,565000.0
15395,200000.0
17571,770000.0
16829,379000.0
13144,485000.0
14723,110000.0
18508,465000.0
15657,345000.0
14810,379950.0
19296,355000.0
16291,321000.0
10484,397000.0
12551,845000.0
18302,940000.0
1921,315000.0
12919,850000.0
12572,648000.0
18657,320000.0
13198,395000.0
17594,970000.0
7571,1700000.0
16148,915000.0
9222,230000.0
19920,541000.0
3851,203000.0
3938,675000.0
8267,82000.0
6108,541125.0
18068,580000.0
16454,815000.0
12660,425000.0
2240,525000.0
3496,980000.0
21153,855000.0
3607,419000.0
15162,225000.0
1320,279950.0
15355,825000.0
11191,471000.0
5380,440000.0
5817,207000.0
15190,1900000.0
20228,1330000.0
168,653000.0
6956,1580000.0
8552,169000.0
12267,610000.0
13461,485000.0
15799,335000.0
16397,630000.0
4950,450000.0
398,378750.0
21054,255000.0
10418,640000.0
11807,206990.0
149,511000.0
3069,595000.0
14627,335000.0
94,700000.0
10864,238950.0
19434,539000.0
13748,102500.0
16796,630000.0
6659,455000.0
14173,299000.0
9642,479950.0
14962,361280.0
1496,1220000.0
8618,665000.0
9278,510000.0
18830,570000.0
4885,255000.0
5905,925000.0
14248,495000.0
18387,825000.0
20326,1600000.0
20682,619990.0
20081,667000.0
3746,325000.0
14281,396500.0
20713,1130000.0
12530,940000.0
1675,165050.0
13821,618250.0
4900,186000.0
1929,598800.0
14989,397000.0
9412,329922.0
7672,639500.0
8375,288000.0
10888,570000.0
12806,235000.0
5568,181000.0
1967,439000.0
16826,540000.0
11412,950000.0
6345,306500.0
1634,325000.0
8852,425000.0
8585,459950.0
12525,230000.0
6355,852000.0
15405,248000.0
3318,95000.0
18176,400000.0
10924,825000.0
1479,455800.0
16383,395000.0
926,420000.0
1498,249000.0
16040,330000.0
19664,465000.0
12906,428000.0
21073,359950.0
14193,689888.0
6580,284900.0
17883,985000.0
15877,310000.0
10633,425000.0
17570,395350.0
9579,620000.0
1332,805000.0
8845,725000.0
5149,377691.0
16932,615000.0
15361,880000.0
2688,369990.0
1714,800000.0
21203,879950.0
12341,275000.0
2059,400000.0
13249,392000.0
11041,354000.0
18993,571500.0
20573,415000.0
17324,815000.0
12860,245000.0
3855,620000.0
9086,204700.0
4113,340000.0
9634,550000.0
6049,270000.0
17519,220000.0
4785,371000.0
2715,1000000.0
20883,312000.0
19204,539950.0
316,487000.0
1923,467000.0
7284,353000.0
14459,782000.0
13588,150000.0
13802,168000.0
6504,815000.0
21334,930000.0
2818,245000.0
14690,475000.0
950,601000.0
19820,285000.0
21430,358000.0
16286,753000.0
16134,570000.0
9100,570000.0
9935,563500.0
30,580500.0
12644,1270000.0
1639,835100.0
17853,255000.0
8452,460000.0
7568,505000.0
10718,450000.0
10669,795000.0
8114,175000.0
4456,507000.0
13793,325000.0
16768,150000.0
5927,212500.0
9672,475000.0
20606,779380.0
8687,225000.0
16551,385000.0
13491,440250.0
1965,471750.0
8295,325000.0
18766,432000.0
1584,1150000.0
2025,875000.0
11514,825000.0
21397,869950.0
21532,1060000.0
21357,325000.0
21337,667000.0
16149,205000.0
14898,500000.0
4963,749000.0
7417,245000.0
2381,650000.0
19258,655000.0
16703,386000.0
6056,240000.0
2928,295000.0
18433,325000.0
12620,900000.0
5836,585000.0
11012,665000.0
8138,394000.0
19082,420000.0
9102,333000.0
20756,563500.0
8629,4490000.0
11724,303000.0
21326,563950.0
1593,900000.0
2201,612000.0
4383,480000.0
700,795000.0
15917,765000.0
20047,379000.0
17713,839000.0
3693,750000.0
4029,325000.0
6934,225000.0
3995,420000.0
18137,412000.0
1314,595000.0
18167,262500.0
764,405300.0
9995,124500.0
4342,715000.0
12843,350000.0
10927,500000.0
13190,1090000.0
15932,276000.0
18568,688000.0
16319,869000.0
38,240000.0
3613,850000.0
1455,250000.0
7403,360000.0
15570,310000.0
11131,215000.0
5274,368000.0
2894,1250000.0
5046,350000.0
12315,499000.0
17163,1190000.0
12131,460000.0
15837,229000.0
8637,995000.0
8188,955000.0
1053,620000.0
9002,860000.0
7654,670000.0
11816,330000.0
13724,584950.0
16289,365000.0
11936,785000.0
6301,950000.0
9835,431000.0
8066,270000.0
2807,503000.0
15750,1690000.0
17139,405000.0
9192,272950.0
15762,546000.0
12238,325000.0
304,315000.0
13709,1160000.0
10201,489000.0
13022,300000.0
18196,255950.0
16162,375000.0
7020,460000.0
8642,249000.0
14127,307300.0
252,415000.0
5082,232000.0
511,480000.0
9085,425000.0
16491,395000.0
18805,474950.0
8100,330000.0
19500,480000.0
20865,765000.0
13958,395000.0
20001,290000.0
14194,305000.0
9555,257100.0
8948,894000.0
750,329999.0
14603,310000.0
2348,350000.0
6074,600000.0
19534,460000.0
742,740000.0
20910,630000.0
176,399950.0
13244,1280000.0
9712,649950.0
10823,464000.0
18266,750000.0
17624,858450.0
21057,636230.0
12477,357950.0
4807,2480000.0
18292,440000.0
2390,300000.0
18798,520000.0
7317,363500.0
16548,445000.0
6674,535900.0
7682,258000.0
381,950000.0
16799,352500.0
5297,368500.0
5268,385000.0
14233,545000.0
21293,669000.0
7615,481500.0
7198,630000.0
13587,364000.0
662,475000.0
21368,608000.0
6134,780000.0
19370,240000.0
19734,335000.0
3467,373000.0
19837,318000.0
4405,565000.0
11408,440500.0
6415,775000.0
20386,437000.0
5468,325000.0
984,535000.0
439,578000.0
9845,629000.0
3781,149000.0
17128,1300000.0
21108,300000.0
429,365000.0
17777,895000.0
10421,449500.0
19345,608000.0
13220,910000.0
7877,278800.0
16092,1430000.0
4881,350000.0
11121,330000.0
5143,994900.0
17127,655000.0
11167,477000.0
1226,680000.0
19703,549995.0
10572,1060000.0
20678,575000.0
15296,622500.0
6508,775000.0
19389,513000.0
903,300000.0
8999,485000.0
7922,782500.0
6925,532000.0
6137,260000.0
19951,500000.0
18395,685000.0
16559,438500.0
5689,345000.0
11604,395000.0
2991,604000.0
366,673000.0
15537,547000.0
5511,515000.0
19647,499431.0
3079,228000.0
10098,624800.0
6389,170000.0
18828,481000.0
3016,485000.0
8008,606000.0
14737,716000.0
12534,114000.0
9561,725000.0
4988,650000.0
1653,365000.0
13764,375000.0
3422,420000.0
15536,339950.0
7365,609000.0
15081,500000.0
14829,305950.0
1206,949000.0
15045,430000.0
10265,728725.0
17903,397500.0
18940,950000.0
1486,514000.0
13425,785000.0
15834,1520000.0
6887,900000.0
85,940000.0
7696,775000.0
167,807100.0
7307,295000.0
7677,355000.0
9400,1010000.0
9092,675000.0
6650,442500.0
21095,424950.0
3372,356000.0
753,699800.0
1418,1700000.0
8178,258000.0
2254,245000.0
4063,373000.0
20396,565000.0
16030,600000.0
21212,412500.0
6933,800000.0
6442,286000.0
9841,890000.0
17178,526000.0
4244,750000.0
15783,277500.0
2438,520000.0
20699,540000.0
2069,884250.0
16415,865000.0
12029,312500.0
5224,760000.0
15290,535000.0
18620,179950.0
13644,210000.0
1078,325000.0
14979,152500.0
2175,1090000.0
4125,625000.0
624,325000.0
5083,350000.0
16962,325000.0
13321,529950.0
8965,482500.0
4105,198500.0
9270,410000.0
15276,340000.0
3550,277500.0
4353,750000.0
16074,650000.0
147,430000.0
12567,215000.0
7852,570000.0
21242,1240000.0
7175,568000.0
12462,300000.0
6402,565000.0
1354,643000.0
7217,456500.0
19507,240000.0
18033,240000.0
17987,300000.0
19442,190000.0
11149,422250.0
17663,721500.0
6388,324950.0
8541,350000.0
9577,563250.0
8492,911100.0
21062,374950.0
1083,675000.0
3604,484000.0
13973,626000.0
20181,1100000.0
6292,490000.0
20471,920000.0
21561,579000.0
8854,562000.0
991,645000.0
2447,1600000.0
1887,345000.0
19632,299000.0
10316,554500.0
15569,436000.0
19324,535000.0
18926,909000.0
10351,600000.0
13850,365000.0
7985,90000.0
14556,395000.0
905,314950.0
2938,550000.0
10509,389100.0
6063,525000.0
19306,478000.0
5489,736000.0
10404,439950.0
18883,325000.0
11504,880000.0
6723,617950.0
16210,215000.0
6350,239950.0
10540,385000.0
18256,189900.0
3102,283200.0
19692,1450000.0
517,750000.0
4051,703011.0
5007,455000.0
3789,160000.0
11535,515000.0
12009,289500.0
16271,565000.0
11307,729000.0
11272,1800000.0
11304,240000.0
13671,515000.0
9071,363000.0
4750,405000.0
813,625000.0
10820,945000.0
8474,330000.0
13453,1270000.0
5100,549000.0
15949,180000.0
8522,415000.0
7302,335000.0
16742,450000.0
10402,810000.0
11444,300000.0
8805,350000.0
16874,995000.0
14438,400000.0
3107,158800.0
2006,463500.0
11335,535000.0
5384,630000.0
7668,385000.0
2733,535000.0
5326,723000.0
12981,749000.0
16765,589950.0
11805,250000.0
5964,325900.0
1693,340000.0
14443,765000.0
18567,450000.0
6779,585000.0
4385,580000.0
18195,1210000.0
10157,605000.0
16445,440000.0
3289,875000.0
18754,585000.0
17259,305000.0
2499,560000.0
19655,720000.0
18678,250000.0
8369,300000.0
17550,600000.0
9469,850000.0
11114,251750.0
11866,1620000.0
52,600000.0
5272,390000.0
18989,365000.0
18636,693000.0
2574,212000.0
18762,424000.0
8877,920000.0
16556,340000.0
4220,271500.0
5861,175000.0
8030,775000.0
8937,230000.0
19053,1420000.0
16113,387846.0
15259,399950.0
17190,695000.0
15283,1330000.0
8803,800000.0
20183,430760.0
19608,825500.0
1405,345000.0
1865,365000.0
4089,845000.0
13206,713500.0
7538,915000.0
17080,840000.0
7070,1650000.0
13108,510000.0
15365,344500.0
18761,1090000.0
3601,328000.0
14969,585000.0
15289,809000.0
17699,590000.0
20174,300500.0
19688,532000.0
2923,699000.0
19925,450000.0
1064,550000.0
21536,516500.0
15538,125000.0
13601,310000.0
9939,445000.0
13977,940000.0
10439,402500.0
6106,250000.0
1771,305000.0
12346,324950.0
6315,355000.0
6913,435000.0
18599,405000.0
9709,638000.0
14775,240000.0
8550,506400.0
332,295000.0
3989,810000.0
17933,290000.0
683,413000.0
3865,1330000.0
3692,350000.0
7588,300000.0
1598,650000.0
17004,625000.0
21402,750000.0
8072,522500.0
8602,645000.0
12711,130000.0
17096,425000.0
9838,450000.0
14002,681000.0
2299,370000.0
17535,349950.0
4467,639000.0
11587,850000.0
13814,339100.0
5169,290256.0
4246,1010000.0
8496,225000.0
5631,420000.0
9787,875000.0
13248,280000.0
9614,358000.0
15409,279000.0
12545,242000.0
20807,1490000.0
11727,126000.0
1683,874150.0
4714,800000.0
21338,495000.0
19210,199900.0
11275,312000.0
8157,186000.0
578,530000.0
17616,605004.0
11746,451000.0
334,940000.0
7792,875000.0
10360,581000.0
13540,310000.0
13863,306000.0
4585,1200000.0
9159,353000.0
5723,615000.0
6909,428040.0
4306,600000.0
17869,379000.0
10650,300000.0
676,280000.0
17084,350000.0
5102,400000.0
13525,310000.0
21418,485000.0
13610,820000.0
18690,425000.0
8255,212000.0
782,320000.0
3336,265000.0
2055,319990.0
9313,2580000.0
1796,580000.0
15815,499950.0
7097,470000.0
15110,555700.0
8866,310000.0
10378,750000.0
16481,735000.0
18750,502501.0
183,163500.0
17509,199500.0
3166,575000.0
4061,244000.0
2297,252000.0
11674,1550000.0
7341,554000.0
19143,685000.0
2836,590000.0
13574,260000.0
10399,422800.0
5049,1300000.0
16560,109500.0
7582,367500.0
1955,345000.0
15056,430000.0
14418,361000.0
8977,450000.0
11148,375000.0
8786,265000.0
10317,520000.0
19899,450000.0
13578,1240000.0
11449,275000.0
17097,242000.0
533,160000.0
18432,705000.0
469,342500.0
20441,950000.0
11078,540000.0
8025,631750.0
20015,450000.0
6141,510500.0
3761,750000.0
10569,198000.0
11915,1130000.0
17581,406500.0
10019,755000.0
17669,599000.0
5706,286900.0
18501,849000.0
7486,1610000.0
1266,302495.0
12767,199950.0
19889,500000.0
11827,320000.0
19553,640000.0
7793,615000.0
20698,275000.0
3780,440000.0
14672,565500.0
5760,650000.0
9992,690000.0
8099,370000.0
7290,547000.0
5331,559000.0
20025,975000.0
5343,767500.0
11902,429950.0
21567,399950.0
10812,598850.0
1566,789500.0
17001,488000.0
13151,425000.0
9326,440000.0
17621,230000.0
4514,260000.0
20058,754842.0
9264,200000.0
15411,466000.0
16562,968000.0
9999,457000.0
8010,275000.0
20670,256703.0
1544,365000.0
13312,350000.0
8046,1250000.0
2604,299000.0
17574,800000.0
5667,430000.0
3177,850000.0
2799,525000.0
5339,482975.0
17011,465000.0
14147,212000.0
1281,371025.0
2566,530000.0
12135,305000.0
15755,642000.0
20074,551500.0
20339,657044.0
2471,1870000.0
20841,555000.0
10877,435000.0
5587,510000.0
14050,734000.0
5219,485000.0
16861,425000.0
10259,575000.0
6373,280000.0
14480,255000.0
10071,577500.0
9831,137124.0
21296,490000.0
9440,1700000.0
6320,415000.0
13729,325000.0
11180,355000.0
15490,273500.0
4126,750500.0
19231,440000.0
6920,375000.0
9820,425000.0
3599,933000.0
12134,195000.0
7484,365000.0
16992,298000.0
10021,649950.0
4294,1190000.0
7316,435000.0
8981,555000.0
8057,417000.0
19753,245000.0
14869,297950.0
4093,280000.0
6954,475000.0
20403,625000.0
4039,580000.0
15249,1680000.0
11223,358500.0
20771,483453.0
3402,515000.0
8319,615000.0
3914,825000.0
20330,400200.0
15189,289950.0
8956,700000.0
16350,1200000.0
20985,782900.0
16425,269900.0
2344,520000.0
3076,311000.0
19246,320000.0
5605,335000.0
19011,724950.0
9421,355000.0
6323,240000.0
8922,386000.0
7808,745000.0
20101,424950.0
3986,790000.0
16471,319950.0
18668,570000.0
17099,415000.0
15302,493000.0
9075,405000.0
9737,309950.0
3824,205000.0
16325,175000.0
9396,353900.0
245,363000.0
20630,552900.0
20493,382000.0
157,320000.0
12136,895000.0
188,615000.0
3577,680000.0
2493,660000.0
2188,568000.0
6209,364000.0
5856,295000.0
1859,405000.0
1143,225500.0
21348,419500.0
13896,695000.0
14107,358000.0
6114,185000.0
19121,227000.0
21407,535000.0
8284,315000.0
4066,979000.0
13636,440000.0
12923,360000.0
20722,1140000.0
21472,890776.0
3013,659500.0
18203,479000.0
12957,519950.0
18841,269500.0
11550,335000.0
10411,750000.0
21252,459995.0
20812,1900000.0
15142,169000.0
5963,253000.0
10244,295000.0
5630,364000.0
11107,592000.0
1553,343000.0
13308,275000.0
9899,375000.0
15060,759000.0
3639,712500.0
428,397000.0
15991,747000.0
11887,255000.0
20429,366750.0
19206,218250.0
4571,362300.0
11654,650000.0
7826,1070000.0
16746,465000.0
11285,182000.0
2359,500000.0
673,865000.0
16372,400000.0
11603,305000.0
16119,465000.0
7997,335000.0
16050,568500.0
2820,459950.0
10138,373000.0
16787,225000.0
16387,578000.0
2791,223000.0
388,403950.0
9210,307150.0
8091,640000.0
11838,688100.0
21543,305000.0
17244,552000.0
15428,195000.0
1326,1200000.0
15188,710000.0
6897,570000.0
8187,365000.0
21450,385000.0
14945,220000.0
17133,805000.0
915,570000.0
12539,90000.0
9790,240000.0
14781,190000.0
1650,231500.0
13551,299000.0
13637,350000.0
5248,582000.0
4455,390000.0
18280,518000.0
18748,389000.0
435,749000.0
20448,432500.0
12730,695000.0
10290,335620.0
7212,449999.0
6541,530000.0
4623,1410000.0
19155,517000.0
6641,212000.0
20270,382495.0
2562,1620000.0
20236,1300000.0
20553,1300000.0
3198,710000.0
11076,195000.0
16953,465000.0
21147,620000.0
16854,590000.0
19314,242000.0
6444,449950.0
13488,207000.0
20259,1210000.0
15403,375000.0
11886,505000.0
17141,680000.0
11635,198000.0
531,200000.0
8351,415000.0
19241,550000.0
6113,289200.0
13546,217500.0
20120,1240000.0
7136,210000.0
15667,1080000.0
18177,225000.0
18967,412000.0
10884,735000.0
8591,310000.0
12837,725000.0
5028,415000.0
19643,535000.0
11024,494950.0
280,304900.0
15013,470000.0
15759,275000.0
19427,630000.0
13201,402000.0
14765,860000.0
13317,305000.0
5541,650000.0
15488,349950.0
1643,570000.0
14944,790100.0
1889,449500.0
7998,865000.0
14799,554000.0
14156,321500.0
14689,1080000.0
3594,270000.0
2996,259500.0
4501,518000.0
12822,229000.0
20774,425996.0
5734,1620000.0
21024,2900000.0
14729,588000.0
3193,375000.0
8131,415000.0
14639,560000.0
18796,200000.0
21306,834950.0
11809,315000.0
9977,716500.0
14111,325000.0
575,300000.0
9640,405000.0
1352,345000.0
3902,1420000.0
21316,245000.0
7061,1040000.0
14268,622500.0
14186,1340000.0
4154,720000.0
14324,800500.0
20798,312000.0
5805,450000.0
505,240000.0
2857,322000.0
9054,439000.0
1432,640000.0
5834,287000.0
4554,160000.0
11117,625000.0
6556,269000.0
10901,1770000.0
11451,199000.0
11195,1380000.0
21461,1010000.0
13818,395000.0
3371,705000.0
17798,592500.0
4367,499950.0
7204,165000.0
11140,535000.0
14558,195000.0
20863,352800.0
6831,299000.0
610,340000.0
8668,496000.0
9854,450000.0
20136,1480000.0
20173,730000.0
11682,410000.0
10806,318000.0
19490,565000.0
17525,533300.0
5761,335000.0
18907,410000.0
12348,488500.0
3448,735000.0
19709,1380000.0
4800,353000.0
13225,685000.0
16111,800000.0
17711,575000.0
8280,382000.0
18757,180000.0
4012,521450.0
13141,385000.0
7167,205000.0
3944,355000.0
13933,449250.0
4308,167000.0
2919,479000.0
3501,425000.0
18581,645500.0
8087,525000.0
4660,405000.0
